speaker,vowel,F1_50,F2_50,participant_age_category,participant_gender,participant_nz_ethnic,word_freq,word,time,vowel_duration,articulation_rate,following_segment_category,amplitude
QB_NZ_F_281,GOOSE,427,2050,46-55,F,NZ mixed ethnicity,38,word_16654,1.7,0.09,3.9175,labial,71.19157706375171
QB_NZ_F_281,DRESS,440,2320,46-55,F,NZ mixed ethnicity,1606,word_18522,1.97,0.09,3.9175,other,67.2118932983058
QB_NZ_F_281,NURSE,434,1795,46-55,F,NZ mixed ethnicity,97,word_43878,4.04,0.2,3.9175,other,62.26938518005431
QB_NZ_F_281,KIT,554,2050,46-55,F,NZ mixed ethnicity,5476,word_43214,7.53,0.05,4.1734,velar,65.28767979649054
QB_NZ_F_281,LOT,530,1130,46-55,F,NZ mixed ethnicity,5151,word_21201,8.11,0.04,4.1734,labial,66.89236267148246
QB_NZ_F_281,START,851,1810,46-55,F,NZ mixed ethnicity,845,word_10912,8.56,0.13,4.1734,other,64.00599968951369
QB_NZ_F_281,DRESS,415,2649,46-55,F,NZ mixed ethnicity,797,word_31536,9.6,0.05,4.1734,labial,63.91441972474369
QB_NZ_F_281,STRUT,805,1585,46-55,F,NZ mixed ethnicity,34640,word_19184,9.92,0.03,4.1734,other,60.63239688830078
QB_NZ_F_281,START,857,1730,46-55,F,NZ mixed ethnicity,726,word_49595,12.4,0.09,4.1734,other,60.82531918726355
QB_NZ_F_281,TRAP,624,2346,46-55,F,NZ mixed ethnicity,5879,word_33368,16.73,0.12,4.5685,labial,65.88922044299645
QB_NZ_F_281,STRUT,717,1791,46-55,F,NZ mixed ethnicity,2405,word_41895,17.34,0.04,4.5685,other,62.52089126050411
QB_NZ_F_281,GOOSE,395,2333,46-55,F,NZ mixed ethnicity,24552,word_46139,18.12,0.07,4.5685,other,58.64571156439552
QB_NZ_F_281,START,790,1788,46-55,F,NZ mixed ethnicity,1233,word_33740,21.19,0.11,3.8031,other,62.170797531894394
QB_NZ_F_281,FLEECE,463,2568,46-55,F,NZ mixed ethnicity,556,word_43490,21.72,0.1,3.8031,labial,64.64479693797533
QB_NZ_F_281,DRESS,512,2296,46-55,F,NZ mixed ethnicity,347,word_47232,25.93,0.06,3.8031,other,65.55598830092087
QB_NZ_F_281,GOOSE,474,2276,46-55,F,NZ mixed ethnicity,2038,word_44765,32.98,0.03,3.6411,other,65.31511121481364
QB_NZ_F_281,FLEECE,465,2715,46-55,F,NZ mixed ethnicity,2175,word_24584,33.13,0.15,3.6411,other,69.72510102717442
QB_NZ_F_281,FLEECE,387,2609,46-55,F,NZ mixed ethnicity,63,word_35684,36.33,0.13,3.6411,labial,65.20247695315702
QB_NZ_F_281,GOOSE,385,2288,46-55,F,NZ mixed ethnicity,24552,word_46139,40.5,0.07,3.6411,other,57.12332958125803
QB_NZ_F_281,TRAP,600,2430,46-55,F,NZ mixed ethnicity,24,word_31758,42.23,0.09,4.2118,other,66.64551580426163
QB_NZ_F_281,DRESS,399,2717,46-55,F,NZ mixed ethnicity,4376,word_49898,42.81,0.21,4.2118,other,65.47381708202623
QB_NZ_F_281,STRUT,537,1550,46-55,F,NZ mixed ethnicity,34640,word_19184,43.7,0.03,4.2118,other,60.935183222505074
QB_NZ_F_281,STRUT,722,1587,46-55,F,NZ mixed ethnicity,0,word_48519,44.12,0.03,4.2118,other,64.01021076086157
QB_NZ_F_281,GOOSE,409,1855,46-55,F,NZ mixed ethnicity,8249,word_42992,44.54,0.12,4.2118,labial,62.769500660663724
QB_NZ_F_281,LOT,441,1436,46-55,F,NZ mixed ethnicity,3080,word_43875,45.73,0.03,4.2118,other,64.39337414598802
QB_NZ_F_281,FOOT,432,1748,46-55,F,NZ mixed ethnicity,762,word_21426,49.08,0.04,4.2118,other,59.30303204088586
QB_NZ_F_281,THOUGHT,400,889,46-55,F,NZ mixed ethnicity,383,word_46298,49.41,0.15,4.2118,labial,65.67656941938746
QB_NZ_F_281,DRESS,448,2537,46-55,F,NZ mixed ethnicity,6555,word_35476,49.95,0.09,4.2118,other,67.46428427081227
QB_NZ_F_281,LOT,619,1252,46-55,F,NZ mixed ethnicity,521,word_47425,52.96,0.12,4.2118,labial,59.18720043644679
QB_NZ_F_281,TRAP,562,2334,46-55,F,NZ mixed ethnicity,24,word_31758,55.55,0.1,4.6465,other,62.085916876992194
QB_NZ_F_281,STRUT,827,1549,46-55,F,NZ mixed ethnicity,2858,word_36116,56.38,0.11,4.6465,other,63.88810913311593
QB_NZ_F_281,LOT,532,1201,46-55,F,NZ mixed ethnicity,3080,word_43875,58.58,0.05,4.6465,other,57.60528287361684
QB_NZ_F_281,STRUT,825,1875,46-55,F,NZ mixed ethnicity,29391,word_47761,58.76,0.06,4.6465,other,66.39834341266149
QB_NZ_F_281,STRUT,650,1821,46-55,F,NZ mixed ethnicity,2858,word_36116,59.02,0.04,4.6465,other,62.95123664724304
QB_NZ_F_281,STRUT,453,1760,46-55,F,NZ mixed ethnicity,9525,word_20928,59.12,0.04,4.6465,other,61.37803733997649
